AIRPORT_CODE,LATITUDE,LONGITUDE,DISPLAY_AIRPORT_NAME,STATE_NAME,STATE_CODE,COUNTRY_NAME,CITY_NAME
WQL,64.59055556,-163.77527778,Bluff Airport,Alaska,AK,United States,Bluff
OH8,40.88555556,-83.86861111,Bluffton Airport,Ohio,OH,United States,Bluffton
BLH,33.61916667,-114.71694444,Blythe Airport,California,CA,United States,Blythe
HKA,35.94055556,-89.83083333,Blytheville Municipal,Arkansas,AR,United States,Blytheville
IAN,66.97583333,-160.43666667,Bob Baker Memorial,Alaska,AK,United States,Kiana
BUR,34.20055556,-118.35861111,Bob Hope,California,CA,United States,Burbank
OCN,33.21805556,-117.35138889,Bob Maxwell Memorial Airfield,California,CA,United States,Oceanside
CEW,30.77888889,-86.52222222,Bob Sikes,Florida,FL,United States,Crestview
BCT,26.37083333,-80.10833333,Boca Raton Public,Florida,FL,United States,Boca Raton
BFI,47.53,-122.30194444,Boeing Field/King County International,Washington,WA,United States,Seattle
ASH,42.7825,-71.51416667,Boire Field,New Hampshire,NH,United States,Nashua
BOI,43.56444444,-116.22277778,Boise Air Terminal,Idaho,ID,United States,Boise
O3H,39.90111111,-83.13694444,Bolton Field,Ohio,OH,United States,Columbus
SYI,35.55944444,-86.4425,Bomar Field-Shelbyville Municipal,Tennessee,TN,United States,Shelbyville/Tullahoma
YVB,48.07111111,-65.46027778,Bonaventure Airport,Quebec,QC,Canada,Bonaventure
HRO,36.26138889,-93.15472222,Boone County,Arkansas,AR,United States,Harrison
RLU,67.10166667,-156.92916667,Bornite Upper,Alaska,AK,United States,Bornite/Ruby Creek
BXS,33.25916667,-116.32083333,Borrego Valley,California,CA,United States,Borrego Springs
JBC,42.33333333,-71.25,Boston City Heliport,Massachusetts,MA,United States,Boston
BSW,60.42305556,-146.14583333,Boswell Bay Airport,Alaska,AK,United States,Boswell Bay
BLD,35.9475,-114.86138889,Boulder City Municipal,Nevada,NV,United States,Boulder City
