,AIRPORT,CITY,STATE,CITY_MARKET_ID
469,EWN,New Bern/Morehead/Beaufort,NC,31617
470,PML,Port Moller,AK,34167
471,ENA,Kenai,AK,31555
472,OMK,Omak,WA,33876
473,MAF,Midland/Odessa,TX,33158
474,LGU,Logan,UT,32965
475,CSG,Columbus,GA,31150
476,WBQ,Beaver,AK,35725
477,BMG,Bloomington,IN,30683
478,GNU,Goodnews Bay,AK,31952
479,GCC,Gillette,WY,31865
480,PIR,Pierre,SD,34120
481,MGE,Marietta,GA,33273
482,ERI,Erie,PA,31577
483,YKM,Yakima,WA,36101
484,YAK,Yakutat,AK,35991
485,AVL,Asheville,NC,30431
486,FTW,Dallas/Fort Worth,TX,30194
487,MVM,Kayenta,AZ,33536
488,LVM,Livingston,MT,33118
489,SBY,Salisbury,MD,34704
490,MWA,Marion/Herrin,IL,33543
491,SUN,Sun Valley/Hailey/Ketchum,ID,35041
492,KPN,Kipnuk,AK,32779
493,XNA,Fayetteville,AR,31834
494,MDO,Middleton Island,AK,33226
495,PLN,Pellston,MI,34150
496,SWO,Stillwater,OK,35074
497,ADW,Camp Springs,MD,30172
498,BFD,Bradford,PA,30557
499,KVL,Kivalina,AK,32844
500,FSM,Fort Smith,AR,31778
501,MCW,Mason City,IA,33211
502,DHN,Dothan,AL,31308
503,CGA,Craig,AK,30961
504,CRW,Charleston/Dunbar,WV,31146
505,RDD,Redding,CA,33792
506,ATY,Watertown,SD,30409
507,IDA,Idaho Falls,ID,32280
508,MCK,McCook,NE,33200
509,AUG,Augusta/Waterville,ME,30414
510,CDC,Cedar City,UT,30918
511,TVC,Traverse City,MI,35380
512,JZT,Arlington,TX,32598
513,MIE,Muncie/Anderson/Newcastle,IN,33307
514,KPV,Perryville,AK,32784
515,STG,St. George Island,AK,35012
516,EGX,Egegik,AK,31511
517,WKK,Aleknagik,AK,35774
518,MTH,Marathon,FL,33501
519,DQR,Peach Springs,AZ,30011
520,ISP,Islip,NY,31703
521,MKK,Hoolehua,HI,33347
522,MQY,Smyrna,TN,33461
523,EFD,Houston,TX,31453
524,SVS,Stevens Village,AK,35061
525,JHW,Jamestown,NY,32494
526,PDB,Pedro Bay,AK,34046
527,SAV,Savannah,GA,34685
528,MQJ,Indianapolis,IN,32337
529,TNK,Tununak,AK,35282
530,FAR,Fargo,ND,31637
531,CEM,Central,AK,30938
532,SHD,Staunton,VA,34802
533,SUS,St. Louis,MO,31123
534,ACK,Nantucket,MA,30154
535,CLP,Clarks Point,AK,31053
536,A07,Selawik,AK,30020
537,PHF,Newport News/Williamsburg,VA,33667
538,RDM,Bend/Redmond,OR,34489
539,DRF,Drift River,AK,31410
540,COD,Cody,WY,31097
541,LAR,Laramie,WY,32888
542,BFF,Scottsbluff,NE,30558
543,POB,Fayetteville,NC,31641
544,TLJ,Tatalina,AK,35250
545,VIK,Kavik River,AK,35599
546,ILM,Wilmington,NC,32323
